dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
3.275,321.6,1.94,4.42,70.0,70,osm,48.85409,12.9586
3.3,322.1,1.96,4.42,70.0,70,osm,48.8543,12.9587
3.325,322.6,1.95,4.95,70.0,70,osm,48.85452,12.95881
3.35,323.1,1.9,5.08,70.0,70,stvo,48.85473,12.9589
3.375,323.7,1.82,5.76,70.0,70,osm,48.85495,12.959
3.4,324.2,1.72,4.79,70.0,70,osm,48.85517,12.95908
3.425,324.7,1.62,4.79,70.0,70,osm,48.85539,12.95915
3.45,325.1,1.52,3.35,74.9,100,stvo,48.85561,12.95921
3.475,325.4,1.42,1.34,79.5,100,stvo,48.85583,12.95927
3.5,325.7,1.32,0.0,83.5,100,stvo,48.85605,12.95934
3.525,326.0,1.22,0.42,77.1,100,stvo,48.85627,12.9594
3.55,326.2,1.12,0.42,70.0,70,osm,48.85649,12.95946
3.575,326.4,1.01,0.45,70.0,70,osm,48.85671,12.95952
3.6,326.7,0.92,0.76,70.0,70,osm,48.85694,12.95958
3.625,326.9,0.84,0.99,70.0,70,osm,48.85716,12.95963
3.65,327.1,0.79,1.07,70.0,70,osm,48.85738,12.95969
3.675,327.3,0.74,1.1,70.0,70,osm,48.8576,12.95975
3.7,327.5,0.7,3.48,70.0,70,osm,48.85782,12.9598
3.725,327.7,0.65,7.69,70.0,70,osm,48.85804,12.95985
3.75,327.8,0.61,9.91,70.0,70,osm,48.85827,12.9599
3.775,328.0,0.56,12.83,70.0,70,osm,48.85849,12.95993
3.8,328.1,0.51,13.82,70.0,70,osm,48.85872,12.95993
3.825,328.2,0.48,15.89,70.0,70,osm,48.85894,12.95991
3.85,328.3,0.47,14.01,70.0,70,osm,48.85916,12.95986
3.875,328.4,0.5,14.22,70.0,70,osm,48.85938,12.95981
3.9,328.5,0.55,11.53,70.0,70,osm,48.8596,12.95973
3.925,328.6,0.61,10.57,70.0,70,osm,48.85982,12.95962
3.95,328.7,0.67,6.1,70.0,70,osm,48.86003,12.9595
3.975,328.8,0.75,3.47,70.0,70,osm,48.86023,12.95937
4.0,329.0,0.83,0.88,74.9,100,stvo,48.86044,12.95924
4.025,329.2,0.92,0.15,79.5,100,stvo,48.86065,12.95911
4.05,329.5,1.0,1.81,83.9,100,stvo,48.86086,12.95899
4.075,329.8,1.1,4.48,88.0,100,stvo,48.86107,12.95886
4.1,330.1,1.19,8.18,88.0,100,osm,48.86128,12.95873
4.125,330.5,1.27,10.27,88.0,100,osm,48.86149,12.95862
4.15,330.8,1.33,14.49,88.0,100,stvo,48.8617,12.95852
4.175,331.1,1.38,12.78,88.0,100,stvo,48.86192,12.95845
4.2,331.5,1.41,14.22,88.0,100,stvo,48.86215,12.9584
4.225,331.9,1.44,13.0,88.0,100,stvo,48.86237,12.95837
4.25,332.2,1.47,13.14,88.0,100,stvo,48.86259,12.95835
4.275,332.6,1.49,12.41,88.0,100,stvo,48.86282,12.95836
4.3,333.0,1.53,12.41,88.0,100,stvo,48.86304,12.95839
4.325,333.3,1.59,9.13,88.0,100,stvo,48.86327,12.95843
4.35,333.7,1.65,7.3,88.0,100,stvo,48.86349,12.9585
4.375,334.1,1.69,5.0,88.0,100,stvo,48.86371,12.95857
4.4,334.5,1.72,4.26,88.0,100,stvo,48.86393,12.95865
4.425,334.9,1.74,4.56,88.0,100,stvo,48.86414,12.95873
4.45,335.4,1.74,7.65,83.5,100,stvo,48.86436,12.95881
4.475,335.9,1.72,8.94,77.1,100,stvo,48.86458,12.95887
4.5,336.4,1.66,12.16,70.0,70,osm,48.8648,12.95893
4.525,336.9,1.58,11.27,70.0,70,osm,48.86503,12.95895
4.55,337.4,1.47,13.7,70.0,70,osm,48.86525,12.95897
4.575,337.8,1.34,13.66,70.0,70,osm,48.86548,12.95896
4.6,338.2,1.19,12.8,70.0,70,osm,48.8657,12.95894
4.625,338.5,1.02,11.31,70.0,70,osm,48.86593,12.95889
4.65,338.7,0.84,9.52,70.0,70,osm,48.86615,12.95882
4.675,338.9,0.68,7.34,70.0,70,osm,48.86636,12.95874
4.7,338.9,0.54,5.43,70.0,70,osm,48.86658,12.95865
