dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
14.925,711.3,-0.53,6.14,88.0,100,osm,48.89325,13.09094
14.95,711.1,-0.68,6.33,88.0,100,stvo,48.89347,13.09096
14.975,710.9,-0.86,6.36,88.0,100,osm,48.8937,13.09099
15.0,710.6,-1.05,7.1,88.0,100,osm,48.89392,13.09102
15.025,710.3,-1.25,7.1,88.0,100,osm,48.89414,13.09106
15.05,709.9,-1.46,6.77,88.0,100,osm,48.89436,13.09113
15.075,709.6,-1.66,7.33,83.5,100,stvo,48.89458,13.09121
15.1,709.2,-1.84,2.9,77.1,100,osm,48.8948,13.09129
15.125,708.7,-2.01,3.76,70.0,70,osm,48.89502,13.09137
15.15,708.2,-2.16,5.66,70.0,70,stvo,48.89523,13.09146
15.175,707.6,-2.29,4.46,70.0,70,osm,48.89545,13.09156
15.2,706.9,-2.43,6.64,70.0,70,osm,48.89567,13.09166
15.225,706.3,-2.57,7.17,70.0,70,osm,48.89588,13.09178
15.25,705.6,-2.72,5.57,70.0,70,osm,48.89609,13.09189
15.275,704.9,-2.85,4.64,70.0,70,osm,48.89629,13.09203
15.3,704.1,-2.97,6.75,70.0,70,stvo,48.8965,13.09218
15.325,703.4,-3.11,3.61,70.0,70,osm,48.8967,13.09232
15.35,702.6,-3.25,3.34,70.0,70,osm,48.8969,13.09247
15.375,701.9,-3.4,3.52,70.0,70,stvo,48.8971,13.09263
15.4,701.0,-3.54,2.55,70.0,70,osm,48.8973,13.09279
15.425,700.2,-3.7,2.02,70.0,70,osm,48.8975,13.09295
15.45,699.2,-3.88,2.69,70.0,70,stvo,48.8977,13.09311
15.475,698.2,-4.07,2.49,70.0,70,osm,48.8979,13.09327
15.5,697.2,-4.24,2.43,70.0,70,osm,48.8981,13.09342
15.525,696.1,-4.39,5.6,70.0,70,osm,48.8983,13.09357
15.55,695.0,-4.52,7.69,70.0,70,osm,48.8985,13.09371
15.575,693.8,-4.63,7.4,70.0,70,osm,48.89871,13.09386
15.6,692.5,-4.69,7.57,70.0,70,osm,48.89892,13.09398
15.625,691.2,-4.71,7.46,70.0,70,osm,48.89913,13.09408
15.65,689.9,-4.69,5.11,70.0,70,osm,48.89935,13.09417
15.675,688.7,-4.63,2.09,70.0,70,osm,48.89956,13.09428
15.7,687.5,-4.53,1.72,70.0,70,osm,48.89978,13.09438
15.725,686.3,-4.41,1.48,70.0,70,osm,48.9,13.09447
15.75,685.2,-4.26,2.79,70.0,70,stvo,48.90021,13.09456
15.775,684.1,-4.1,3.13,70.0,70,stvo,48.90043,13.09465
15.8,683.1,-3.93,2.48,74.9,100,osm,48.90065,13.09474
15.825,682.2,-3.76,5.72,70.0,70,osm,48.90086,13.09484
