dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,limit_source,lat,lon
8.225,440.1,7.88,7.24,70.0,70,osm,48.89301,12.97792
8.25,442.1,7.79,7.4,70.0,70,osm,48.89322,12.97805
8.275,444.1,7.68,7.03,70.0,70,osm,48.89343,12.97818
8.3,446.0,7.54,7.19,70.0,70,osm,48.89364,12.97829
8.325,448.0,7.4,8.96,70.0,70,osm,48.89386,12.9784
8.35,449.9,7.24,8.28,70.0,70,osm,48.89407,12.9785
8.375,451.7,7.08,8.87,70.0,70,osm,48.89429,12.97858
8.4,453.5,6.91,9.81,70.0,70,osm,48.89451,12.97865
8.425,455.2,6.73,7.4,70.0,70,stvo,48.89473,12.9787
8.45,456.8,6.57,5.77,70.0,70,stvo,48.89495,12.97874
8.475,458.4,6.43,5.78,70.0,70,osm,48.89518,12.97877
8.5,459.9,6.31,4.26,70.0,70,osm,48.8954,12.9788
8.525,461.3,6.21,3.06,70.0,70,osm,48.89563,12.97882
8.55,462.8,6.12,2.7,70.0,70,osm,48.89585,12.97883
8.575,464.3,6.04,2.54,70.0,70,stvo,48.89608,12.97884
8.6,465.7,5.97,3.25,70.0,70,osm,48.8963,12.97885
8.625,467.2,5.92,4.78,70.0,70,osm,48.89653,12.97886
8.65,468.8,5.87,6.5,70.0,70,osm,48.89675,12.97887
8.675,470.3,5.82,9.63,70.0,70,osm,48.89697,12.9789
8.7,471.9,5.76,13.0,70.0,70,osm,48.8972,12.97894
8.725,473.3,5.73,11.73,70.0,70,osm,48.89742,12.979
8.75,474.7,5.68,9.98,74.9,100,osm,48.89764,12.97908
8.775,476.1,5.6,9.72,79.5,100,osm,48.89785,12.97919
8.8,477.5,5.51,9.13,83.9,100,osm,48.89806,12.9793
8.825,478.8,5.4,11.04,88.0,100,osm,48.89828,12.97941
8.85,480.1,5.3,14.05,88.0,100,osm,48.89849,12.9795
8.875,481.4,5.21,16.82,88.0,100,osm,48.89871,12.97958
8.9,482.8,5.1,19.13,88.0,100,osm,48.89894,12.97961
8.925,484.0,4.95,19.57,88.0,100,osm,48.89916,12.97961
8.95,485.3,4.75,14.21,88.0,100,osm,48.89938,12.9796
8.975,486.5,4.5,10.88,88.0,100,osm,48.89961,12.97955
9.0,487.8,4.19,8.15,88.0,100,osm,48.89983,12.97948
9.025,488.9,3.81,4.41,88.0,100,osm,48.90005,12.97941
9.05,490.0,3.42,1.35,88.0,100,osm,48.90027,12.97933
9.075,491.0,3.02,0.48,88.0,100,osm,48.90049,12.97926
9.1,491.7,2.61,0.65,88.0,100,stvo,48.90071,12.97919
9.125,492.3,2.18,0.34,88.0,100,stvo,48.90093,12.97912
9.15,492.7,1.73,0.26,88.0,100,osm,48.90115,12.97904
9.175,492.9,1.24,0.26,88.0,100,osm,48.90137,12.97897
