dist_km,elevation_m,grade_pct,curvature_deg_100m,speed_kmh,legal_kmh,lat,lon
54.775,707.8,0.66,12.13,50.0,50,49.20715,13.02872
54.8,708.0,0.62,12.15,50.0,50,49.20717,13.02906
54.825,708.2,0.57,11.53,50.0,50,49.20718,13.02941
54.85,708.3,0.53,44.39,50.0,50,49.20719,13.02975
54.875,708.4,0.49,50.48,50.0,50,49.2072,13.0301
54.9,708.5,0.45,57.39,50.0,50,49.20724,13.03044
54.925,708.6,0.41,61.53,50.0,50,49.20712,13.03066
54.95,708.6,0.37,57.06,50.0,50,49.20696,13.0309
54.975,708.7,0.4,49.84,43.2,50,49.20682,13.03117
55.0,708.8,0.4,150.63,32.9,50,49.2067,13.03146
55.025,708.9,0.4,142.76,33.8,50,49.20659,13.03176
55.05,709.0,0.41,172.77,30.7,50,49.20661,13.032
55.065,709.1,0.42,229.95,26.7,50,49.20667,13.03186
